fecha	titular	fuente	categoria
2018-11-14 09:08:34-03	Trabajadores del Buenos Aires Design cortan la avenida Libertador por el cierre del centro comercial	Infobae.com	Nacional
2018-11-13 14:14:48-03	La boda del gobernador Gerardo Morales: tapas de revistas y una guerra judicial	Clarín.com	Nacional
2018-11-14 10:08:19-03	Cumbre del G20: qué calles estarán cortadas y cómo funcionará el transporte	iprofesional.com	Nacional
2018-11-14 02:02:13-03	Una fractura que confirma la candidatura de Cristina Kirchner	LA NACION (Argentina.)	Nacional
2018-11-14 09:03:06-03	Infierno grande: ola de divorcios en un pueblo tras viralizarse videos de una fiesta sexual	Diario El Día	Nacional
2018-11-14 10:18:26-03	Presupuesto 2019: vallaron el Congreso, en medio de protestas y cortes	LA NACION (Argentina.)	Nacional
2018-11-14 08:59:59-03	Por nuevas asambleas de aeronavegantes se viene otra jornada de demoras y cancelaciones	ANDigital	Nacional
2018-11-14 10:59:22-03	La próxima semana habrá paro total de transporte	Agencia Fe	Nacional
2018-11-14 10:54:08-03	Mauricio Macri y el pelo: se probó un producto contra la calvicie y mostró el video en Instagram	Clarín.com	Nacional
2018-11-14 06:59:09-03	Emilio Monzó no será candidato y se irá de Cambiemos en 2019	El Cronista	Destacadas
2018-11-14 02:02:13-03	Una fractura que confirma la candidatura de Cristina Kirchner	LA NACION (Argentina.)	Destacadas
2018-11-14 02:00:35-03	Cierra luego de 25 años el shopping Buenos Aires Design y peligran 700 puestos de trabajo	Infonews	Destacadas
2018-11-14 07:47:24-03	Qué calles estarán cortadas y cómo funcionarán los aeropuertos durante la cumbre del G20	Infobae.com	Destacadas
2018-11-14 10:26:39-03	Murió de vacaciones en Italia, la aerolínea perdió los papeles y su cuerpo está varado en Ezeiza	Clarín.com	Destacadas
2018-11-13 23:23:00-03	Mauricio Macri se probó productos para la calvicie y lo mostró en Instagram	LA NACION (Argentina.)	Destacadas
2018-11-14 07:11:37-03	La palabra clave que salvó a una niña en Estados Unidos de ser raptada por un hombre	Infobae.com	Destacadas
2018-11-14 08:15:22-03	Por el bono de fin de año, más empleados podrían pagar el Impuesto a las Ganancias	Infobae.com	Destacadas
2018-11-14 08:29:55-03	Cortes y movilizaciones en la Ciudad recalientan el debate por el Presupuesto	Ambito.com	Destacadas
2018-11-13 18:40:19-03	La Corte fijó una agenda de fallos clave que serán emitidos antes de fin de año	Télam	Destacadas
2018-11-14 10:44:00-03	Superclásico: River sacó a la venta más entradas para la final	Diario ElSol.com.ar Mendoza	Deportes
2018-11-14 08:05:41-03	Paulo Gazzaniga, el arquero sorpresa de Lionel Scaloni	Clarín.com	Deportes
2018-11-14 09:36:31-03	Maradona negó haber criticado a Messi, disparó otra vez contra Scaloni y también la ligó Solari	Ambito.com	Deportes
2018-11-13 20:35:46-03	La causa de la primera tarjeta verde	Olé	Deportes
2018-11-14 02:16:53-03	Ponzio y Scocco trabajan pensando en la revancha	Nuevo Diario de Santiago del Estero	Deportes
2018-11-14 10:23:17-03	La Selección, al Mundial: un regreso que se demoró 12 años y estuvo marcado por una lucha	Clarín.com	Deportes
2018-11-14 09:11:33-03	Copa Libertadores: cómo es la venta del remanente de entradas en River para la final con Boca	canchallena.com	Deportes
2018-11-14 09:38:42-03	Confirman el pase de Palacios	Olé	Deportes
2018-11-14 08:16:00-03	El video de Pablo Pérez que hizo estallar de bronca a los hinchas de Boca	TN	Deportes
2018-11-13 00:02:17-03	Los palos salvaron a Jorge Almirón en su debut en San Lorenzo contra Vélez	TN	Deportes
2018-11-14 09:42:55-03	Día Mundial de la Diabetes: todo lo que hay que saber sobre la enfermedad	Télam	Salud
2018-11-14 03:01:41-03	A los 6, 17, 45 y 65 años: cuál es la mejor actividad física según la edad	Infobae.com	Salud
2018-11-14 10:53:06-03	Médico argentino identificó nuevo gen que causa la muerte súbita	Chaco Dia Por Dia	Salud
2018-11-14 00:36:07-03	Cómo adelgazar en cada década de la vida	TN	Salud
