fecha	titular	fuente	categoria
2018-11-15 16:37:25-03	Detuvieron en Buenos Aires a dos adherentes del grupo terrorista Hezbollah con gran cantidad de armas	Infobae.com	Destacadas
2018-11-15 18:11:41-03	Cecilia Bolocco pide que recen por la salud de su hijo Máximo Menem	Clarín.com	Destacadas
2018-11-15 03:02:56-03	En la Noche de las Heladerías Artesanales, 7 lugares para disfrutar de los mejores sabores	Infobae.com	Destacadas
2018-11-15 18:11:53-03	Colón: un hombre mató a su exesposa, a sus dos hijos, a un vecino y se suicidó	TN	Destacadas
2018-11-15 23:18:01-03	Pichetto ocupará un cargo clave en la relación con la Justicia	LA NACION (Argentina.)	Destacadas
2018-11-16 07:37:34-03	Una Argentina en reconstrucción se medirá ante México, que aguarda por el arribo de Martino: hora, TV y formaciones	Infobae.com	Deportes
2018-11-15 19:03:15-03	Explotó Fantino: “A Cunha lo puso River, nos va a robar el partido”	Clarín.com	Deportes
2018-11-15 18:16:52-03	Pampita se sacó fotos con los cracks de Boca, pero todos hablan del gesto de Wanchope	TN	Deportes
2018-11-16 08:03:00-03	La Selección argentina se enfrenta a México en Córdoba: hora, TV y formaciones	TN	Deportes
2018-11-16 06:30:53-03	Santiago Ponzinibbio: de las adversidades e incertidumbres que vivió en Brasil a ser la cara de Argentina en UFC	Infobae.com	Deportes
2018-11-15 10:33:19-03	Ante una sanción inminente, Diego Maradona será investigado en México	Diario Veloz	Deportes
2018-11-16 08:03:18-03	Veinte años hechos camiseta	Olé	Deportes
2018-11-15 23:08:05-03	Los medios mejicanos, sorprendidos por las condiciones del estadio Kempes	La Voz del Interior	Deportes
2018-11-15 21:23:03-03	Cristiano Ronaldo se comprometió con su novia argentina	LA NACION (Argentina.)	Deportes
2018-11-16 05:09:25-03	No lo quiere confirmar todavía, pero Braña está a punto de colgar sus botines	Diario El Día	Deportes
2018-11-16 00:54:16-03	Sarampión: el país aún no cumple la meta de la campaña de vacunación	La Voz del Interior	Salud
2018-11-13 09:50:45-03	¿Un milagro?: el tumor cerebral de un paciente desapareció antes de la cirugía	TN	Salud
2018-11-16 07:01:28-03	Sumarán horas de Educación Física para niños con sobrepeso	Los Andes (Mendoza)	Salud
2018-11-16 00:05:29-03	Un remedio rionegrino contra la tuberculosis	LMCipolletti.com	Salud
2018-11-15 19:29:51-03	Cáncer del pulmón genera más de un millón de muertes anuales	Anton Noticias	Salud
2018-11-16 04:35:16-03	¿Café o té?	PanamaOn	Salud
2018-11-16 07:54:43-03	Hubo controles y encuestas en el Día Mundial de la Diabetes	El Santafesino	Salud
2018-11-16 08:30:42-03	La EPOC ya es la segunda causa de muerte en el mundo	Rosario3.com	Salud
2018-11-16 00:10:32-03	El primer mapa celular para evitar las complicaciones del embarazo	AIM Digital	Salud
2018-11-15 09:35:26-03	Un 42 % de los españoles tomó antibióticos en un año, diez puntos más que en la UE	Yahoo Finanzas España	Salud
2018-11-15 21:16:24-03	La más moderna laptop de Asus llegó a Argentina	Segundo Enfoque	Ciencia y Tecnologia
2018-11-15 13:59:06-03	El mate, el alfajor, Ricardo Fort y Macri: cómo son los stickers de Whatsapp hechos en el país	LA NACION (Argentina.)	Ciencia y Tecnologia
2018-11-14 14:40:36-03	Cómo funciona el código QR, la función clave que WhatsApp copió de Snapchat e Instagram	Clarín.com	Ciencia y Tecnologia
2018-11-16 04:18:00-03	¿Cómo es la red de satélites con la que SpaceX llevará Internet a todo el mundo?	Noticias y Protagonistas	Ciencia y Tecnologia
